city_name,description,cause_of_incident,from_road,to_road,affected_roads,incident_category_desc,magnitude_of_delay_desc,length_in_meters,delay_in_seconds,incident_date
Guimaraes,"stationary traffic",,N101,Urgezes,,Jam,Major,498,168,"2018-11-02 15:27:11.252000"
Guimaraes,"stationary traffic",,"Oliveira Do Castelo (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,440,227,"2018-11-02 15:27:11.252000"
Guimaraes,"queuing traffic",,"Vista Alegre (N105)","Rua De Angola (N105)",N105,Jam,Moderate,1260,224,"2018-11-02 15:27:11.252000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,615,135,"2018-11-02 15:07:09.559000"
Guimaraes,"stationary traffic",,"Rua Serpa Pinto (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,295,197,"2018-11-02 15:07:09.559000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,786,202,"2018-11-02 14:47:09.588000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,845,202,"2018-11-02 14:27:10.456000"
Guimaraes,"slow traffic",,"Rua Eduardo Manuel De Almeida (N105)","Rua De Angola (N105)",N105,Jam,Minor,264,31,"2018-11-02 14:07:09.609000"
Guimaraes,"stationary traffic",,"Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá","Rua Eduardo Manuel de Almeida / Avenida Dom João IV",,Jam,Major,498,444,"2018-11-02 14:07:09.609000"
Guimaraes,"stationary traffic",,"Rua De Teixeira De Pascoais (N101)","Rua João Paulo II (N101)",N101,Jam,Major,1051,276,"2018-11-02 14:07:09.609000"
